issue_type,lat,lon
Rats,42.38030123,-71.09308635
Rats,42.3871276,-71.0857942
Rats,42.3877105,-71.0856732
Rats,42.397861,-71.119245
Rats,42.3802131,-71.0930433
Rats,42.394754,-71.098195
Rats,42.3750763,-71.0985936
Rats,42.3759562,-71.0954833
Rats,42.3839666,-71.1127223
Rats,42.3842342,-71.1129761
Rats,42.3844684,-71.1131909
Rats,42.376446,-71.0986284
Rats,42.376081,-71.1016575
Rats,42.3791783,-71.0989067
Rats,42.3954014,-71.1140058
Rats,42.3902555,-71.1044893
Rats,42.3799647,-71.1025857
Rats,42.4013788,-71.1193214
Rats,42.389701,-71.0949262
Rats,42.382168,-71.093742
Rats,42.3819927,-71.0971545
Rats,42.3926507,-71.098083
Rats,42.384403,-71.097794
Rats,42.40281611,-71.12070337
Rats,42.384331,-71.112968
Rats,42.3839666,-71.1127223
Rats,42.3844964,-71.0891
Rats,42.3864019,-71.11479
Rats,42.3843207,-71.0893205
Rats,42.3855632,-71.0884736
Rats,42.3853277,-71.084295
Rats,42.3912398,-71.1137043
Rats,42.3910946,-71.1134193
Rats,42.3912382,-71.1137138
Rats,42.3912398,-71.1137043
Rats,42.3825275,-71.0978973
Rats,42.38914924,-71.09390037
Rats,42.3859457,-71.1053249
Rats,42.3889737,-71.0879974
Rats,42.3811036,-71.0894224
Rats,42.377155,-71.093094
Rats,42.377823,-71.092979
Rats,42.3836621,-71.0869165
Rats,42.3909446,-71.1135416
Rats,42.3773577,-71.0995685
Rats,42.3760174,-71.0984544
Rats,42.3771113,-71.0994292
Rats,42.377494,-71.0988069
Rats,42.3936212,-71.0925557
Rats,42.3897774,-71.0838532
Rats,42.3870721,-71.0869737
Rats,42.3933634,-71.1119673
Rats,42.4043554,-71.1245433
Rats,42.3861093,-71.088659
Rats,42.382247,-71.081987
Rats,42.38460537,-71.08012705
Rats,42.3846394,-71.110942
Rats,42.3929925,-71.0925818
Rats,42.3881102,-71.1178123
Rats,42.3957343,-71.1259823
Rats,42.380138,-71.099281
Rats,42.386269,-71.102257
Rats,42.388677,-71.0934547
Rats,42.4039946,-71.1276535
Rats,42.4013788,-71.1193214
Rats,42.39072,-71.094299
Rats,42.3844846,-71.0804418
Rats,42.3872111,-71.1157852
Rats,42.3844846,-71.0804418
Rats,42.380688,-71.101021
Rats,42.379662,-71.096916
Rats,42.3857496,-71.0812912
Rats,42.3957848,-71.0878901
Rats,42.377494,-71.0988069
Rats,42.3939616,-71.1090387
Rats,42.3851451,-71.0879302
Rats,42.3825687,-71.1009324
Rats,42.3945253,-71.0964582
Rats,0,0
Rats,42.3895943,-71.0995221
Rats,42.393178,-71.090883
Rats,42.3875037,-71.0879162
Rats,42.3844846,-71.0804418
Rats,42.3885914,-71.09932
Rats,42.399964,-71.123695
Rats,42.3996231,-71.1133095
Rats,42.3842342,-71.1129761
Rats,42.3839666,-71.1127223
Rats,42.4030541,-71.1164661
Rats,42.3773151,-71.0997866
Rats,42.376195,-71.098612
Rats,42.38556814,-71.09173266
Rats,42.3977404,-71.0965121
Rats,42.3940545,-71.1091677
Rats,42.3760653,-71.098134
Rats,42.3930984,-71.0983151
Rats,42.3855799,-71.078531
Rats,42.3872407,-71.0848521
Rats,42.3875037,-71.0879162
Rats,42.38921,-71.093583
Rats,42.3827009,-71.1041532
Rats,42.3957848,-71.0878901
Rats,42.382019,-71.092964
Rats,42.3851948,-71.0918088
Rats,42.378368,-71.094452
Rats,42.3915534,-71.1135764
Rats,42.3874714,-71.1078549
Rats,42.3876242,-71.1144429
Rats,42.388336,-71.095318
Rats,42.3777201,-71.0883108
Rats,42.388349,-71.0920015
Rats,42.3790707,-71.0917694
Rats,42.3802613,-71.0994689
Rats,42.3981296,-71.1137969
Rats,42.3769678,-71.0998935
Rats,42.3870318,-71.1086953
Rats,42.3823234,-71.1010233
Rats,42.3822604,-71.0972009
Rats,42.3847167,-71.1105242
Rats,42.3849691,-71.1098279
Rats,42.3848429,-71.1106425
Rats,42.4011588,-71.1235525
Rats,42.3769596,-71.1033288
Rats,42.3983139,-71.1193442
Rats,42.3857465,-71.0921872
Rats,42.3785842,-71.1004505
Rats,42.3760653,-71.098134
Rats,42.3933967,-71.1096422
Rats,42.3857572,-71.0794204
Rats,42.3842342,-71.1129761
Rats,42.384167,-71.113022
Rats,42.3748837,-71.1007291
Rats,42.388763,-71.088989
Rats,42.3858478,-71.0922916
Rats,42.3857465,-71.0921872
Rats,42.401023,-71.1237078
Rats,42.4008935,-71.1233828
Rats,42.4001132,-71.1239782
Rats,42.3768787,-71.0969994
Rats,42.3786773,-71.101392
Rats,42.3870878,-71.1144236
Rats,42.3871438,-71.1091939
Rats,42.402752,-71.124321
Rats,42.3858478,-71.0922916
Rats,42.3940545,-71.1091677
Rats,42.37503315,-71.09966283
Rats,42.3871534,-71.1150271
Rats,0,0
Rats,42.3890917,-71.0879278
Rats,42.3977404,-71.0965121
Rats,42.3872405,-71.0807203
Rats,42.4013788,-71.1193214
Rats,42.390229,-71.100627
Rats,42.3839666,-71.1127223
Rats,42.3839666,-71.1127223
Rats,42.3804053,-71.1035144
Rats,42.3940545,-71.1091677
Rats,42.3942083,-71.0987329
Rats,42.3838078,-71.1073675
Rats,42.3747522,-71.0995221
Rats,42.3799052,-71.0961344
Rats,42.40039,-71.1234757
Rats,42.3806268,-71.1048143
Rats,42.3817,-71.099244
Rats,42.3907861,-71.1069497
Rats,42.392022,-71.0952571
Rats,42.3875037,-71.0879162
Rats,42.38429286,-71.1115565
Rats,42.3954434,-71.0983615
Rats,42.391255,-71.0931966
Rats,42.40039,-71.1234757
Rats,42.393298,-71.091672
Rats,42.3819878,-71.1093172
Rats,42.375772,-71.099089
Rats,42.3775186,-71.0972474
Rats,42.3944769,-71.0974795
Rats,42.3957691,-71.1038626
Rats,42.3828277,-71.1008108
Rats,42.3885025,-71.0994292
Rats,42.3924825,-71.1031895
Rats,42.380207,-71.099655
Rats,42.3861017,-71.0920943
Rats,42.3921282,-71.1005801
Rats,42.3925988,-71.0966903
Rats,42.3970143,-71.0988722
Rats,42.3924825,-71.1031895
Rats,42.3813878,-71.0926282
Rats,42.3942899,-71.0959475
Rats,42.3831797,-71.0798458
Rats,42.3840908,-71.0808371
Rats,42.391255,-71.0931966
Rats,42.380959,-71.107658
Rats,42.3961212,-71.1090851
